school_name,organization_number,municipality,county,mobbing_by_students_pct,mobbing_by_adults_pct,mobbing_digital_pct,students_2025_26,special_education_2025_26,enhanced_norwegian_2025_26,teachers_2025_26,teacher_density_2025_26,latitude,longitude,geocoded_address,geocoding_status
St Paul skole,974117045,Bergen,Vestland,,0.0,,325,34,61,45,1714.0,60.325021609643905,5.28836582933243,,approximate_from_name_hash
Steinerskolen på Skjold Helseped Avdeling,973465112,Bergen,Vestland,,,,29,,0,16,0.0,60.28222639414258,5.33880528043915,,approximate_from_name_hash
Stiftelsen Davinci montessoriskole,986847367,Bergen,Vestland,,,,105,14,0,20,1786.0,60.46805520824361,5.470313123003792,,approximate_from_name_hash
Stiftelsen montessoriskolen i Bergen,974223384,Bergen,Vestland,0.0,0.0,,142,14,,18,1191.0,60.385044443238364,5.087634289604508,,approximate_from_name_hash
Stiftelsen steinerskolen på Skjold,973448889,Bergen,Vestland,,,,158,17,0,32,1781.0,60.309751569656044,5.2311810852545815,,approximate_from_name_hash
Storetveit skole,974738619,Bergen,Vestland,,,,434,10,15,41,1998.0,60.413192632781296,5.392098260858095,,approximate_from_name_hash
Sædalen skole,974738244,Bergen,Vestland,7.0,0.0,7.3,331,20,18,30,1515.0,60.43673006134989,5.459392591974337,,approximate_from_name_hash
Sælen Oppveksttun avd skole,974737981,Bergen,Vestland,8.6,0.0,5.6,263,14,13,23,1621.0,60.44352061881692,5.1515500828217595,,approximate_from_name_hash
Søreide skole,974738236,Bergen,Vestland,15.8,,8.8,488,9,15,37,1682.0,60.33327878113352,5.289402301535149,,approximate_from_name_hash
Søråshøgda skole,974739380,Bergen,Vestland,7.1,0.0,0.0,645,27,42,50,1691.0,60.50251455351623,5.293743106341261,,approximate_from_name_hash
Tertnes skole,974738074,Bergen,Vestland,6.5,,6.5,349,9,21,26,1632.0,60.39467868013306,5.422522318956803,,approximate_from_name_hash
Trengereid Oppveksttun Avd skule (Nedlagt),974738155,Bergen,Vestland,,,,,,,,,60.339280950446565,5.231432226966216,,approximate_from_name_hash
Tveiterås skole,974738643,Bergen,Vestland,,,,42,,0,13,0.0,60.371235474726376,5.392502348789376,,approximate_from_name_hash
Ulsetskogen skole,874738492,Bergen,Vestland,9.7,0.0,0.0,256,12,9,24,1530.0,60.411674195295625,5.123039080353326,,approximate_from_name_hash
Ulsmåg skole,974738511,Bergen,Vestland,4.9,0.0,0.0,534,13,13,43,1698.0,60.460534051274756,5.427359694182681,,approximate_from_name_hash
Vadmyra skole,974738422,Bergen,Vestland,14.8,,,221,14,26,20,1521.0,60.356109982317044,5.3462335867981405,,approximate_from_name_hash
Varden skole,974737973,Bergen,Vestland,13.2,5.7,,380,14,12,30,1599.0,60.41798412740841,5.390800468340182,,approximate_from_name_hash
Ytre Arna skule,974738139,Bergen,Vestland,14.3,0.0,0.0,208,15,75,25,1374.0,60.34517556895948,5.420156990393605,,approximate_from_name_hash
Ytrebygda skole,974738597,Bergen,Vestland,,,,322,51,8,44,1941.0,60.36108018167439,5.366286825471946,,approximate_from_name_hash
Ådnamarka skule,974738570,Bergen,Vestland,7.5,0.0,,324,27,56,32,1389.0,60.35795185549384,5.29528005452614,,approximate_from_name_hash
Åstveit skole,974738465,Bergen,Vestland,,,,410,31,20,51,1819.0,60.46206661938491,5.312163406870341,,approximate_from_name_hash
